name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,opening_hours,secondary_opening_hours
Alfamart,"Jalan Babakan Ciparay No.146, Sukahaji",-6.936150700000001,107.5841489,OPERATIONAL,3.8,140,"convenience_store, supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': True},Unknown
Lumbung Sayur,Jalan Caringin Gang Lumbung 4 RT.01/RW.05,-6.942537299999999,107.5801806,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
Warung Mamah Aris,"Jalan Caringin, Cikungkurak, Kaler Blok Beas No.83, RT.06/RW.06, Babakan Ciparay",-6.9403166,107.5776858,OPERATIONAL,4,4,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,Unknown,Unknown
PD YN JUAL BELI HASIL BUMI,"3H4J+M9W, Babakan Ciparay",-6.9432544,107.5809378,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': True},Unknown
Warung mas naryo,"Jalan Karangsari No.149, Babakan Ciparay",-6.9414865,107.5769516,OPERATIONAL,1,1,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
Kembar Mulya,"Jalan Pasar Induk Caringin No.117-119, Babakan Ciparay",-6.942744200000001,107.5823299,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,Unknown,Unknown
TK sembako aji jaya abadi,"Jalan Caringin No.181, Babakan Ciparay",-6.9440486,107.5789469,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
Borma Toserba Caringin,"Jalan Caringin No.175, Babakan Ciparay",-6.944383999999999,107.5793725,OPERATIONAL,4.2,1757,"supermarket, atm, finance, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
PD STH Caringin,Babakan Ciparay,-6.9444009,107.580766,OPERATIONAL,5,5,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
Warung teh Eulis & Basreng,"3H6G+JVV, Jalan Sumber Endah II, Babakan Ciparay",-6.938380499999999,107.5771719,OPERATIONAL,4.8,6,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
Toko Ardi,"3H4J+4FR, Jalan Caringin, Babakan Ciparay",-6.9446379,107.5811403,OPERATIONAL,4.3,7,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
Warung Apoy,"Jalan Babakan Ciparay No.242, Babakan Ciparay",-6.938582200000001,107.5827847,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': False},Unknown
UD SR JEMBER,"Jalan Pasar Induk Caringin blok D 12, Babakan Ciparay",-6.944311300000001,107.5821256,OPERATIONAL,4.9,9,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,{'open_now': True},Unknown
Warung Pa Dadang,"Gang Situgunting Barat II No.25-56, Babakan Ciparay",-6.9368909,107.5810742,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,Unknown,Unknown
warung salom blok beas,"3H5G+X5R, Babakan Ciparay",-6.940000299999999,107.5753824,OPERATIONAL,5,2,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,Unknown,Unknown
Toko Amanda,"Gang Situgunting Barat II No.2, RT.08/RW.09, Babakan Ciparay",-6.9366254,107.5814381,OPERATIONAL,5,1,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",,Unknown,Unknown
