center_lat,center_lng,name,address,lat,lng,rating,user_ratings_total
-6.924819626931177,107.56766403186002,TK Al Kautsar,"Jalan Raya Cijerah No.161, Cijerah",-6.924558399999999,107.5676498,5,1
-6.924819626931177,107.56766403186002,Tempat belajar anak anak,"3HG8+2WW, Gang Al.Ihsan, Cibuntu",-6.924896500000001,107.5673178,Unknown,Unknown
-6.9228180266346735,107.5689247131,SD Bandung Raya,"3HG9+XJJ, Jalan Raya Cijerah, Cibuntu",-6.9225386,107.5690119,5,4
-6.922150826535839,107.5689247131,Madrasah Aliyah Al-Istiqomah,"Jalan Raya Cijerah No.151, Cibuntu",-6.922036799999999,107.5687689,4.4,54
-6.926457299901043,107.57081573495998,dixie racing,"3HFC+78R, Cibuntu",-6.926759499999999,107.5707645,5,1
-6.9204524990115335,107.57081573495998,MTs Assu'ada Cijerah,"Gang Pasantren No.260, Cibuntu",-6.920540099999998,107.5705521,Unknown,Unknown
-6.9204524990115335,107.57081573495998,Pondok Pesantren Assuada,"Jalan Raya Cijerah Gang Pst No.83/189, Cijerah",-6.9202611,107.5706148,4.3,12
-6.923485226733508,107.57144607557997,Pesantren Al Murabby MAN 1 Kota Bandung,"Jalan Haji Alpi No.40, Cibuntu",-6.9236717,107.5715942,5,2
-6.9228180266346735,107.57144607557997,MAN 1 Kota Bandung,"Jalan Terusan H Alpi, Cibuntu",-6.9225008,107.5714104,4.6,207
-6.922150826535839,107.57144607557997,MAN 1 Kota Bandung,"Jalan Terusan H Alpi, Cibuntu",-6.9225008,107.5714104,4.6,207
-6.919482026140502,107.57144607557997,TK PROFITA,"Jalan Haji Anwar No.47, Cibuntu",-6.919374700000001,107.5716668,4.3,3
-6.923121299406871,107.57207641619996,X ips b,"3HGC+RPW, Cibuntu",-6.922987199999999,107.5718342,Unknown,Unknown
-6.922454099308037,107.57207641619996,Madrasah Aliyah Negeri 1 Kota Bandung ( MANSABA),"3HHC+4R5, Cibuntu",-6.9222284,107.5720988,5,5
-6.922454099308037,107.57207641619996,Ruang UKM PMR,"3HHC+4W3, Jl. H Alpi Cijerah, Cibuntu",-6.922227899999999,107.572309,5,1
-6.921786899209202,107.57207641619996,PAUD Sabiq,"Jalan Terusan H Alpi No.439, Cibuntu",-6.921741,107.5720795,Unknown,Unknown
-6.9228180266346735,107.57270675681995,Masjid ta'lim al hidayah,"3HGF+W5M, Cibuntu",-6.922661399999999,107.5729334,Unknown,Unknown
-6.9228180266346735,107.57270675681995,XII MIPA A,"Jalan Terusan H Alpi No.103, Cibuntu",-6.922784699999999,107.5724635,5,6
-6.9228180266346735,107.57270675681995,XII MIPA CLEVER,Jalan Haji Alpi,-6.9226223,107.5724568,5,2
-6.919482026140502,107.57270675681995,Jl hj anwar,"3HJC+6XJ, Jalan Haji Anwar, Cibuntu",-6.9194038,107.5724022,Unknown,Unknown
-6.923788499505705,107.57333709743995,Madrasah Diniyah Takmiliyah Awaliyah Masjid An-Nuur,"3HGF+H82, Jalan Holis, Cibuntu",-6.9236146,107.573264,5,1
-6.924152426832342,107.57396743805994,Majelis Abah Wabaarik Bandung Raya,"Cibuntu Barat Rt.04/09 No.425, Cibuntu",-6.923922900000001,107.573778,Unknown,Unknown
-6.919482026140502,107.57396743805994,SMA Citra Cemara,"Jalan Soekarno-Hatta No.22, Cibuntu",-6.919228999999999,107.5741704,4.6,80
-6.918814826041667,107.57396743805994,Paket C Bandung,"Jalan Soekarno-Hatta No.18, RT.06/RW.03, Cibuntu",-6.9188449,107.5742087,5,92
-6.918814826041667,107.57396743805994,PG & TK Tunas Cemara,"Jalan Soekarno-Hatta No.22, Cibuntu",-6.9190915,107.5740699,Unknown,Unknown
-6.918814826041667,107.57396743805994,Yayasan Citra Cemara,"Jalan Soekarno-Hatta No.22, Cibuntu",-6.919052499999998,107.5742025,4,4
-6.917480425843999,107.57396743805994,TK Al Furqon,"JL H. Alfi, No. 1, Cibuntu",-6.9175499,107.5736833,5,2
-6.919118098813865,107.57459777867993,RA AS SYARIEF,"3HJF+8XJ, Cibuntu",-6.9191593,107.5748752,5,1
-6.9228180266346735,107.57522811929992,Mis Yppi,"Jalan Holis No.94, Warung Muncang",-6.9229765,107.5750639,Unknown,Unknown
-6.9228180266346735,107.57522811929992,Neneng romlah,"Jalan Holis No.57, Cibuntu",-6.922659,107.5754011,Unknown,Unknown
-6.919785298912699,107.57585845991991,PAUD IWING FAMILY,"Jalan Holis No.36, RT.09/RW.03, Cibuntu",-6.9200677,107.5756858,Unknown,Unknown
