name,address,lat,lng,types,business_status,rating,user_ratings_total
Melinda Beauty & Baby Care (Melby Care),"Jalan Pajajaran, Pajajaran, Cicendo, Melinda Hospital 1 Lantai M Jl. Pajajaran no 46 Bandung, Pasir Kaliki",-6.906924299999998,107.6031359,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
RSIA Melinda,"3JV3+68F, Jalan Pajajaran No.46, Pasir Kaliki",-6.9069686,107.6032797,"hospital, health, point_of_interest, establishment",OPERATIONAL,4,232
Rumah Sakit Melinda 2,"Jalan Doktor Cipto No.1, Pasir Kaliki",-6.9063167,107.5983705,"hospital, health, point_of_interest, establishment",OPERATIONAL,3.8,1360
Perhimpunan Rumah Sakit Seluruh Indonesia (PERSI) Wilayah Jawa Barat,"RS Dr Hasan Sadikin Jalan Pasteur No.38, Pasir Kaliki",-6.9005236,107.6007707,"hospital, health, point_of_interest, establishment",OPERATIONAL,5,1
dr. Riadi di Melinda Hospital,"Jalan Pajajaran No.46, Pasir Kaliki",-6.906572,107.59979,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
Praktek Dokter Susan Melinda,"Jalan Pajajaran No.46, Pasir Kaliki",-6.906572,107.59979,"hospital, health, point_of_interest, establishment",OPERATIONAL,5,2
Melinda Cardio Vascular Center,Jalan Doktor Cipto No.11,-6.905150600000001,107.6006522,"hospital, health, point_of_interest, establishment",OPERATIONAL,4.7,42
Melinda Sport Clinic,"Jalan Doktor Cipto No.1, Pasir Kaliki",-6.906385799999999,107.5982976,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
Morula IVF Melinda Bandung,"Jalan Doktor Cipto, Pasir Kaliki",-6.906232999999999,107.5983274,"hospital, health, point_of_interest, establishment",OPERATIONAL,4.9,104
Melinda Child Development Center,"Jalan Doktor Cipto No.1, Pasir Kaliki",-6.906342800000001,107.5982255,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
Gd. Kemuning RSHS,"3HVX+962, Jalan Pasir Kaliki, Pasir Kaliki",-6.906602899999999,107.5980013,"hospital, health, point_of_interest, establishment",OPERATIONAL,2.4,5
Klinik Mata Dr Soediro,"Jalan Nyland No.2, Pasir Kaliki",-6.9036883,107.6016261,"hospital, health, point_of_interest, establishment",OPERATIONAL,4.5,21
Sri Rahayu Skd Rr Drg,"Jalan Kebon Kawung No.43, Pasir Kaliki",-6.912597300000001,107.6012111,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
Klinik Mediska Kebon Kawung,"Jalan Kebon Kawung, Pasir Kaliki",-6.9127683,107.6019826,"hospital, health, point_of_interest, establishment",OPERATIONAL,4.3,33
